d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
4, 5, 1, 10000, 0.2962, 0.3390, 0.2472, 0
4, 5, 1, 50000, 0.1113, 0.3367, 0.9542, 0
4, 5, 1, 100000, 0.0652, 0.1507, 1.8535, 0
4, 5, 2, 1000, 0.4105, 4.4900, 0.0433, 0
4, 5, 2, 10000, 0.2231, 0.2524, 0.2616, 0
4, 5, 2, 50000, 0.2995, 0.6015, 0.9736, 0
4, 5, 2, 100000, 0.5230, 3.9303, 1.9071, 0
4, 5, 3, 1000, 0.3636, 0.4807, 0.0357, 0
4, 5, 3, 10000, 0.0965, 0.1713, 0.2300, 0
4, 5, 3, 50000, 0.0460, 0.0346, 0.9697, 1
4, 5, 4, 1000, 0.2964, 0.3303, 0.0373, 0
4, 5, 4, 10000, 0.2378, 0.3333, 0.2367, 0
4, 5, 4, 50000, 0.2442, 0.1772, 0.9745, 0
4, 5, 4, 100000, 0.1204, 0.2598, 1.8830, 0
4, 5, 5, 1000, 0.2296, 0.2114, 0.0656, 0
4, 5, 5, 10000, 0.2441, 0.6033, 0.2196, 0
4, 5, 5, 50000, 0.1305, 0.4030, 0.9560, 0
4, 5, 5, 100000, 0.0705, 0.0868, 1.8976, 1
4, 5, Median, 100000.0, 0.0705, 0.1507, 1.8535, 0.40
4, 6, 1, 1000, 0.1645, 0.6184, 0.0792, 0
4, 6, 1, 10000, 0.2414, 0.3795, 0.2924, 0
4, 6, 1, 50000, 0.1762, 0.3728, 1.1785, 0
4, 6, 1, 100000, 0.1940, 0.4822, 2.2604, 0
4, 6, 2, 1000, 0.4332, 0.4571, 0.0792, 0
4, 6, 2, 10000, 0.3065, 0.3907, 0.2586, 0
4, 6, 2, 50000, 0.6232, 0.4581, 1.1573, 0
4, 6, 2, 100000, 0.4601, 0.3380, 2.2760, 0
4, 6, 3, 1000, 0.3530, 0.2183, 0.0583, 0
4, 6, 3, 10000, 0.1813, 0.1874, 0.2979, 0
4, 6, 3, 50000, 0.0632, 0.0960, 1.1446, 1
4, 6, 4, 1000, 0.3415, 0.4298, 0.0663, 0
4, 6, 4, 10000, 0.0918, 0.1055, 0.2632, 1
4, 6, 5, 1000, 0.3684, 0.6406, 0.1239, 0
4, 6, 5, 10000, 0.3045, 0.7446, 0.2761, 0
4, 6, 5, 50000, 0.2091, 0.4853, 1.1364, 0
4, 6, 5, 100000, 0.1411, 0.1912, 2.2010, 0
4, 6, Median, 100000.0, 0.1411, 0.1912, 1.1446, 0.40
5, 1, 1, 1000, 0.0046, 0.0000, 0.0302, 1
5, 1, 2, 1000, 0.0076, 0.0000, 0.0387, 1
5, 1, 3, 1000, 0.0052, 0.0000, 0.0407, 1
5, 1, 4, 1000, 0.0055, 0.0000, 0.0396, 1
5, 1, 5, 1000, 0.0051, 0.0000, 0.0295, 1
5, 1, Median, 1000.0, 0.0052, 0.0000, 0.0387, 1.00
5, 2, 1, 1000, 0.0205, 0.0335, 0.0295, 1
5, 2, 2, 1000, 0.0080, 0.0559, 0.0284, 1
5, 2, 3, 1000, 0.0082, 0.0200, 0.0387, 1
5, 2, 4, 1000, 0.0126, 0.0323, 0.0395, 1
5, 2, 5, 1000, 0.0367, 0.1219, 0.0296, 1
5, 2, Median, 1000.0, 0.0126, 0.0335, 0.0296, 1.00
5, 3, 1, 1000, 0.0516, 0.3462, 0.0298, 0
5, 3, 1, 10000, 0.0215, 0.0534, 0.2099, 1
5, 3, 2, 1000, 0.0242, 0.0194, 0.0294, 1
5, 3, 3, 1000, 0.0216, 0.0379, 0.0428, 1
5, 3, 4, 1000, 0.0122, 0.0233, 0.0413, 1
5, 3, 5, 1000, 0.2053, 0.4303, 0.0301, 0
5, 3, 5, 10000, 0.0135, 0.0097, 0.2057, 1
5, 3, Median, 1000.0, 0.0215, 0.0233, 0.0428, 1.00
5, 4, 1, 1000, 0.4035, 0.3418, 0.0321, 0
5, 4, 1, 10000, 0.0845, 0.7876, 0.2077, 0
5, 4, 1, 50000, 0.0502, 0.1037, 0.9396, 1
5, 4, 2, 1000, 0.2548, 0.2208, 0.0341, 0
5, 4, 2, 10000, 0.0198, 0.0496, 0.2215, 1
5, 4, 3, 1000, 0.0882, 0.1002, 0.0431, 1
5, 4, 4, 1000, 0.0771, 0.0502, 0.0324, 1
5, 4, 5, 1000, 0.1843, 0.2720, 0.0477, 0
5, 4, 5, 10000, 0.0646, 0.1184, 0.2183, 1
5, 4, Median, 10000.0, 0.0646, 0.1002, 0.2183, 1.00
5, 5, 1, 1000, 0.5123, 6.8203, 0.0380, 0
5, 5, 1, 10000, 0.4094, 6.5475, 0.2174, 0
5, 5, 1, 50000, 0.4313, 5.2154, 1.0905, 0
